Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
KALIMANTAN TIMUR,17462.89,17850.43,18861.59,19221.51,73396.42,385.62,415.47,464.37,500.91,1766.36,2023.28,3705.09,4627.09,9926.15,20281.62,31573.87,32224.28,32173.77,33111.72,129083.65,3112.3,3803.82,1661.9,1264.92,9842.94,75319.83,70518.55,72146.35,66776.16,284760.88,129877.79,128517.63,129935.08,130801.36,519131.87
KALIMANTAN UTARA,2371.99,2420.08,2558.91,2602.39,9953.37,84.82,91.75,102.89,111.29,390.75,481.61,906.56,1164.48,2570.57,5123.22,3791.53,3904.21,3911.59,4014.58,15621.92,301.34,373.3,137.48,77.01,889.13,5514.71,5011.68,5627.81,4472.11,20626.31,12545.99,12707.58,13503.17,13847.96,52604.7
SULAWESI UTARA,7845.67,7824.17,8264.65,8846.81,32781.3,352.38,362.98,392.51,380.86,1488.74,2695.81,2985.09,3138.72,3530.19,12349.8,5641.22,5971.37,6081.44,6758.3,24452.33,19.94,22.47,9.79,3.89,56.09,-913.16,-37.1,306.95,612.5,-30.81,15641.85,17128.98,18194.07,20132.56,71097.46
SULAWESI TENGAH,10370.14,10502.75,11418.2,11696.52,43987.61,336.96,348.3,369.13,391.84,1446.22,2623.57,2898.82,3011.32,3250.2,11783.91,7428.41,7853.48,8091.66,8179.73,31553.28,513.27,601.56,294.97,247.33,1657.13,-2552.55,-2640.22,-2955.16,-2437.99,-10585.92,18719.8,19564.69,20230.12,21327.62,79842.22
SULAWESI SELATAN,34608.77,35349.71,38260.95,38423.65,146643.07,716.07,731.47,802.05,833.83,3083.42,3416.17,6933.69,7325.29,11043.79,28718.94,20783.45,22787.19,25090.42,26222.63,94883.7,3125.72,4778.16,-863.66,-2620.23,4419.98,-3352.83,-6441.2,-1014.3,-8104.37,-18912.69,59297.35,64139.03,69600.75,65799.29,258836.42
SULAWESI TENGGARA,8552.51,8844.65,9437.33,9654.77,36489.26,188.19,187.23,189.52,194.03,758.97,2223.16,2691.42,2777.46,3205.17,10897.2,5975.16,6130.15,6424.59,6944.01,25473.91,-149.3,323.77,460.97,-343.01,292.42,-856.89,-429.71,-811.59,-772.32,-2870.51,15932.82,17747.5,18478.28,18882.65,71041.25
GORONTALO,3271.87,3317.93,3540.81,3587.18,13717.79,35.1,34.28,37.34,38.78,145.5,906.56,1382.21,1451.14,1757.68,5497.58,1579.89,1653.42,1776.48,1891.9,6901.69,124.5,151.54,65.6,45.52,387.17,-606.8,-1072.24,-1085.67,-1755.74,-4520.45,5311.12,5467.15,5785.69,5565.32,22129.28
SULAWESI BARAT,3306.51,3361.36,3659.62,3686.94,14014.43,45.42,47.68,52.32,54.39,199.81,926.41,1086.45,1186.61,1495.27,4694.73,1603.14,1738.7,1844.14,1966.18,7152.16,229.29,222.06,-43.43,-149.96,257.95,-323.48,-161.49,-137.14,-447.49,-1069.6,5787.29,6294.75,6562.12,6605.33,25249.49
MALUKU,4052.62,4290.61,4728.68,5095.39,18167.3,149.41,149.22,152.92,154.8,606.35,2211.52,2669.93,2861.4,3088.35,10831.19,1989.49,1827.84,2017.39,2162.16,7996.87,91.33,93.9,51.07,44.83,281.12,-2127.85,-2311.37,-2715.94,-2893.23,-10048.4,6366.5,6720.14,7095.51,7652.29,27834.44
MALUKU UTARA,3071.85,3097.74,3272.26,3306.98,12748.84,57.39,60.38,63.1,66.19,247.06,1576.7,1707.41,1756.57,1862.64,6903.32,1336.58,1368.41,1412.35,1456.07,5573.41,-181.54,926.73,774.64,-1145.76,374.07,-740.07,-1855.25,-1836.47,24.58,-4407.21,5120.91,5305.43,5442.46,5570.69,21439.49
PAPUA BARAT,3189.48,3260.2,3412.63,3513.44,13375.76,97.1,106.35,116.9,129.83,450.18,2053.46,2467.89,2720.09,3054.77,10296.2,2241.51,2358.99,2732.17,2860.83,10193.5,448.8,-379.71,-611,-623.59,-1165.49,4100.89,4780.45,5567.73,5398.43,19847.51,12131.25,12594.17,13938.53,14333.71,52997.66
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,13393.19,13826.09,14612.37,15492.31,57323.96,506.29,521.46,555.95,578.68,2162.38,5674.28,6219.72,6475.69,7806.55,26176.24,8283.9,8822.2,9354.75,9879.24,36340.09,175.51,-142.99,144.13,159.11,335.76,1906.21,-4940.89,41.02,3512.4,518.74,29939.38,24305.6,31183.91,37428.29,122857.17
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,1253032.7,1279716.94,1359710.54,1377826.58,5270286.76,24213.05,25175.51,27061.12,29140.94,105590.62,148634.43,211207.29,236108.13,308096.71,904046.56,696358.82,739962.17,775034.15,810188.15,3021543.29,76692.35,76038.82,38221.69,6923.3,197876.15,73497.2,20211.46,45708.98,-32611.87,106805.77,2272428.55,2352312.18,2481844.6,2499563.81,9606149.15
