Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Nganjuk,474429,513565,539714
Madiun,405127,437296,460205
Magetan,396696,431203,455119
Ngawi,382301,413947,445865
Bojonegoro,403403,435936,471457
Tuban,421287,454336,488131
Lamongan,446601,481969,524636
Gresik,536544,588316,608828
Bangkalan,458754,503207,547017
Sampang,411661,454716,491753
Pamekasan,392345,431127,467493
Sumenep,427882,471860,506569
Kota Kediri,537326,587723,621051
Kota Blitar,517363,568280,596105
Kota Malang,609612,674660,706341
Kota Probolinggo,575195,628380,654409
Kota Pasuruan,486893,529512,554195
Kota Mojokerto,531804,581006,610968
Kota Madiun,551620,605131,637838
Kota Surabaya,652540,718370,742678
Kota Batu,564010,613985,642778
BANTEN,570368,618721,654213
Pandeglang,416248,455297,479886
Lebak,380681,419066,440705
Tangerang,576122,604362,632941
Serang,385864,425751,449291
Kota Tangerang,695225,746468,785113
Kota Cilegon,572780,632703,663533
Kota Serang,460613,511575,540786
Kota Tangerang Selatan,712717,782543,828278
BALI,485022,529643,568510
Jembrana,458214,496435,531164
Tabanan,522520,562801,601963
Badung,633769,688018,737800
Gianyar,434163,468307,500797
Klungkung,359415,384983,411010
Bangli,401650,436928,465572
Karang Asem,376229,404083,432414
Buleleng,496390,537262,570129
Kota Denpasar,712815,778203,820512
NUSA TENGGARA BARAT,459826,498996,534703
Lombok Barat,503509,546421,576478
Lombok Tengah,480657,520852,549400
Lombok Timur,503525,546404,583957
Sumbawa,404396,441977,477774
Dompu,404413,442451,469647
Bima,395040,429327,451386
Sumbawa Barat,518619,565599,611142
Lombok Utara,514755,556462,594789
Kota Mataram,562661,616536,657667
Kota Bima,432959,471841,496096
NUSA TENGGARA TIMUR,460823,507203,527275
Sumba Barat,395592,422382,441428
Sumba Timur,414832,443502,460384
Kupang,425750,471901,486458
Timor Tengah Selatan,382167,420783,436707
Timor Tengah Utara,440155,485744,499772
Belu,416519,459111,476703
Alor,400858,438013,446875
Lembata,464542,508575,517948
Flores Timur,364117,405486,412744
Sikka,389455,428352,434074
Ende,473403,518939,528259
Ngada,435916,477840,489139
Manggarai,407261,443908,454625
Rote Ndao,372179,410491,426843
Manggarai Barat,405746,444474,458834
Sumba Tengah,341513,362089,381760
Sumba Barat Daya,432375,475879,494229
Nagekeo,422982,472041,487814
Manggarai Timur,411670,446504,458116
Sabu Raijua,480844,526831,549947
Malaka,419292,458399,474853
Kota Kupang,648982,732921,761108
KALIMANTAN BARAT,520660,563288,595509
Sambas,472079,498209,528017
Bengkayang,396037,416148,440390
Landak,414536,451681,473797
Pontianak,414334,444790,471845
Sanggau,395305,416112,440303
Ketapang,499724,539108,570638
Sintang,620670,644010,670853
Kapuas Hulu,508087,543301,572644
Sekadau,370836,392195,414782
Melawi,602209,640608,666972
Kayong Utara,339089,365262,386071
Kubu Raya,457367,492642,511815
Kota Pontianak,622735,677512,708333
Kota Singkawang,552823,588561,614077
