Provinsi,Perkotaan_Semester1,Perkotaan_Semester2,Perdesaan_Semester1,Perdesaan_Semester2,Total_Semester1,Total_Semester2,Tahun
SULAWESI TENGGARA,211529.93,218461.0,217357.46,227757.0,215619.58,224360.0,2017
GORONTALO,221124.05,233999.0,233542.57,242180.0,229465.58,239329.0,2017
SULAWESI BARAT,233411.63,255318.0,240903.62,247744.0,239358.77,249544.0,2017
MALUKU,319133.98,341556.0,342515.94,347373.0,333356.84,345090.0,2017
MALUKU UTARA,315481.09,318011.0,303436.23,307493.0,306642.38,310354.0,2017
PAPUA BARAT,375359.56,378551.0,397246.05,404857.0,389400.29,395479.0,2017
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2017
PAPUA,328874.54,334043.0,349305.78,350279.0,344637.05,346106.0,2017
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2017
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2017
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2017
INDONESIA,270856.32,283220.0,278277.85,284740.0,274544.38,283964.0,2017
ACEH,351777.0,360318.19,353915.0,362463.34,353291.0,361835.41,2018
SUMATERA UTARA,328225.0,345167.42,333843.0,342317.79,331105.0,343740.9,2018
SUMATERA BARAT,356907.0,367319.03,369087.0,370529.45,364235.0,369206.6,2018
RIAU,342425.0,350004.22,357685.0,358620.5,351845.0,355411.51,2018
JAMBI,358637.0,363152.88,312113.0,314945.87,326180.0,329934.18,2018
SUMATERA SELATAN,313669.0,314491.52,289522.0,291450.87,297528.0,298856.85,2018
BENGKULU,380731.0,388650.84,356600.0,356972.92,363700.0,366889.22,2018
LAMPUNG,321620.0,327530.49,293926.0,299041.14,301234.0,306926.27,2018
KEP. BANGKA BELITUNG,442588.0,469429.91,472431.0,495542.54,457834.0,482102.67,2018
KEP. RIAU,373829.0,376276.75,396882.0,405549.51,377389.0,379602.47,2018
DKI JAKARTA,394158.0,408790.86,0.0,0.0,394158.0,408790.86,2018
JAWA BARAT,263583.0,266339.96,274016.0,276660.33,266531.0,269064.68,2018
JAWA TENGAH,254959.0,259615.71,259564.0,265809.06,257293.0,262772.55,2018
DI YOGYAKARTA,301252.0,305494.64,270706.0,271414.73,292472.0,296077.01,2018
JAWA TIMUR,282265.0,296061.99,272436.0,279054.29,277349.0,287852.48,2018
BANTEN,316089.0,331095.52,293446.0,301349.07,308915.0,322255.78,2018
BALI,263613.0,268910.39,264685.0,267058.95,263995.0,268274.99,2018
NUSA TENGGARA BARAT,279003.0,284496.52,271987.0,272119.77,275124.0,277943.59,2018
NUSA TENGGARA TIMUR,299104.0,301642.59,273466.0,275681.29,278911.0,281069.78,2018
KALIMANTAN BARAT,323125.0,331134.98,320747.0,326706.96,321481.0,328114.55,2018
KALIMANTAN TENGAH,290898.0,305217.37,347960.0,356962.1,328127.0,338032.17,2018
KALIMANTAN SELATAN,288601.0,294677.37,313712.0,323191.57,302854.0,310496.11,2018
KALIMANTAN TIMUR,394601.0,411445.49,424731.0,435063.8,405108.0,419549.99,2018
KALIMANTAN UTARA,432127.0,471678.09,413858.0,430969.75,423796.0,454542.25,2018
SULAWESI UTARA,253610.0,263853.07,276149.0,286801.86,265096.0,275123.29,2018
SULAWESI TENGAH,309458.0,311845.12,314521.0,326791.62,313190.0,322860.93,2018
SULAWESI SELATAN,218173.0,230867.58,236336.0,240452.99,229289.0,236638.65,2018
SULAWESI TENGGARA,220497.0,232433.85,230677.0,240343.33,226889.0,237715.95,2018
GORONTALO,237890.0,246148.39,249937.0,255886.59,245508.0,252117.96,2018
SULAWESI BARAT,255642.0,259387.33,248042.0,249420.31,249788.0,251463.56,2018
MALUKU,342923.0,356495.44,351733.0,364361.16,348099.0,361160.66,2018
MALUKU UTARA,330654.0,331690.15,320771.0,329212.07,323639.0,329899.62,2018
PAPUA BARAT,383367.0,421470.88,407711.0,439399.22,398435.0,432692.54,2018
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2018
PAPUA,361012.0,378574.78,378887.0,392449.52,374752.0,388843.78,2018
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2018
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2018
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2018
INDONESIA,295272.0,303909.85,294302.0,299883.76,294806.0,302022.07,2018
ACEH,364040.0,377620.0,372626.0,387367.0,370093.0,384381.0,2019
SUMATERA UTARA,354346.0,366831.0,348030.0,367379.0,351215.0,367105.0,2019
SUMATERA BARAT,382490.0,402124.0,382217.0,401904.0,382333.0,402003.0,2019
RIAU,361135.0,383444.0,368149.0,381046.0,365515.0,381904.0,2019
