,38 Provinsi,Perkotaan Semester 1 (Maret),Perkotaan Semester 2 (September),Unnamed: 4,Perdesaan Semester 2 (September),Perkotaan+Perdesaan Semester 1 (Maret),Perkotaan+Perdesaan Semester 2 (September),Tahun
200,SUMATERA SELATAN,337697,338390,321453,323914,327021,328710,2020
201,BENGKULU,423966,426542,374440,377325,389613,392261,2020
202,LAMPUNG,364654,367275,333219,335769,342151,344944,2020
203,KEP. BANGKA BELITUNG,507398,511872,543077,546174,524371,528771,2020
204,KEP. RIAU,406556,408172,442464,444217,410225,410811,2020
205,DKI JAKARTA,466156,467847,-,-,466156,467847,2020
206,JAWA BARAT,299959,303465,307253,312563,301806,305687,2020
207,JAWA TENGAH,295446,297510,292760,295899,294095,296697,2020
208,DI YOGYAKARTA,350055,350253,296144,296654,334461,335262,2020
209,JAWA TIMUR,317234,317483,306255,309418,311891,313653,2020
210,BANTEN,374474,376950,342546,355550,364725,370293,2020
211,BALI,307459,309933,280900,284541,298945,302154,2020
212,NUSA TENGGARA BARAT,312088,314001,293862,296269,302545,304982,2020
213,NUSA TENGGARA TIMUR,357134,358164,305029,305413,316130,316659,2020
214,KALIMANTAN BARAT,379108,382408,351955,353089,361075,362874,2020
215,KALIMANTAN TENGAH,358205,362579,397192,402086,382954,387865,2020
216,KALIMANTAN SELATAN,337851,341730,370662,374563,355813,360394,2020
217,KALIMANTAN TIMUR,453545,462661,483135,486520,463823,470589,2020
218,KALIMANTAN UTARA,526226,532518,460249,471012,499050,508699,2020
219,SULAWESI UTARA,300906,306074,301162,307159,301032,306583,2020
220,SULAWESI TENGAH,354798,356510,366541,375369,363287,370310,2020
221,SULAWESI SELATAN,257455,265149,268024,275659,263690,271199,2020
222,SULAWESI TENGGARA,264082,274804,271154,276410,268511,275884,2020
223,GORONTALO,279230,281726,292558,298431,287272,291402,2020
224,SULAWESI BARAT,277068,278234,268940,270167,270655,271458,2020
225,MALUKU,407169,423608,428902,433906,419778,429678,2020
226,MALUKU UTARA,360482,364415,357381,361627,358264,362406,2020
227,PAPUA BARAT,453352,458403,470084,471297,463545,465715,2020
228,PAPUA BARAT DAYA,-,-,-,-,-,-,2020
229,PAPUA,408356,419488,428109,443201,423243,437370,2020
230,PAPUA SELATAN,-,-,-,-,-,-,2020
231,PAPUA TENGAH,-,-,-,-,-,-,2020
232,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2020
233,INDONESIA,339519,342356,331492,335042,335793,339003,2020
234,ACEH,418047,426126,406917,414738,410420,418296,2021
235,SUMATERA UTARA,397996,409313,391979,399971,395104,404860,2021
236,SUMATERA BARAT,424106,431008,438205,444693,431644,438308,2021
237,RIAU,419858,432554,409818,423953,413593,427086,2021
238,JAMBI,437220,448893,362221,364150,385360,391656,2021
239,SUMATERA SELATAN,350163,354236,335549,337702,340567,343549,2021
240,BENGKULU,449159,462886,386776,405341,405468,423264,2021
241,LAMPUNG,375720,392074,347870,361365,356329,370907,2021
242,KEP. BANGKA BELITUNG,525236,538158,566074,576533,544017,555279,2021
243,KEP. RIAU,426912,429830,458274,467527,429298,432804,2021
244,DKI JAKARTA,479332,490918,-,-,479332,490918,2021
245,JAWA BARAT,313015,321499,319590,330150,314572,323525,2021
246,JAWA TENGAH,307367,316590,302894,318487,305149,317519,2021
247,DI YOGYAKARTA,366206,370047,304443,325101,350057,358285,2021
248,JAWA TIMUR,328596,344429,316010,327215,322671,336315,2021
249,BANTEN,390893,405526,364081,369466,382584,395258,2021
250,BALI,321245,325747,291311,302550,312020,319095,2021
251,NUSA TENGGARA BARAT,325304,336346,311567,320916,318425,328699,2021
252,NUSA TENGGARA TIMUR,367201,385169,312141,333436,324545,344666,2021
253,KALIMANTAN BARAT,388798,407296,360819,377369,370423,387342,2021
254,KALIMANTAN TENGAH,371472,374314,412878,429419,396514,407871,2021
255,KALIMANTAN SELATAN,356053,362027,384188,389770,371204,376894,2021
256,KALIMANTAN TIMUR,479168,488748,498601,509282,485445,495785,2021
257,KALIMANTAN UTARA,546681,556182,484174,496468,522517,531302,2021
258,SULAWESI UTARA,319561,326632,316222,320933,317970,323997,2021
259,SULAWESI TENGAH,367691,373960,386603,391001,380991,385989,2021
260,SULAWESI SELATAN,276910,286095,281013,288566,279240,287467,2021
261,SULAWESI TENGGARA,281207,293509,284561,297786,283400,296298,2021
262,GORONTALO,292463,298372,310257,315316,303108,308586,2021
263,SULAWESI BARAT,286970,299813,278145,297024,279747,297545,2021
264,MALUKU,431414,441674,440977,457656,436876,450442,2021
265,MALUKU UTARA,383780,398678,376259,390416,378475,392506,2021
266,PAPUA BARAT,474175,493825,476185,491591,475394,492485,2021
267,PAPUA BARAT DAYA,-,-,-,-,-,-,2021
268,PAPUA,428098,434937,451443,455814,445607,450729,2021
269,PAPUA SELATAN,-,-,-,-,-,-,2021
270,PAPUA TENGAH,-,-,-,-,-,-,2021
271,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2021
272,INDONESIA,353767,363836,344277,355299,349474,360007,2021
273,ACEH,448528,481276,434104,462138,438658,468255,2022
274,SUMATERA UTARA,431588,458089,415301,438098,423760,448623,2022
