,38 Provinsi,Februari,Agustus,Tahun
330,SULAWESI TENGGARA,2.77,3.19,2018
331,GORONTALO,3.38,3.7,2018
332,SULAWESI BARAT,2.33,3.01,2018
333,MALUKU,7.07,6.95,2018
334,MALUKU UTARA,4.56,4.63,2018
335,PAPUA BARAT,6.27,6.45,2018
336,PAPUA BARAT DAYA,6.3149999999999995,6.48,2018
337,PAPUA,2.75,3.0,2018
338,PAPUA SELATAN,4.825,4.05,2018
339,PAPUA TENGAH,3.02,2.75,2018
340,PAPUA PEGUNUNGAN,1.43,1.32,2018
341,INDONESIA,5.1,5.3,2018
342,SUMATERA UTARA,5.57,5.39,2019
343,SUMATERA BARAT,5.38,5.38,2019
344,RIAU,5.36,5.76,2019
345,JAMBI,3.52,4.06,2019
346,SUMATERA SELATAN,4.02,4.53,2019
347,BENGKULU,2.41,3.26,2019
348,LAMPUNG,3.95,4.03,2019
349,KEP. BANGKA BELITUNG,3.32,3.58,2019
350,KEP. RIAU,7.02,7.5,2019
351,DKI JAKARTA,5.5,6.54,2019
352,JAWA BARAT,7.78,8.04,2019
353,JAWA TENGAH,4.19,4.44,2019
354,DI YOGYAKARTA,2.89,3.18,2019
355,JAWA TIMUR,3.77,3.82,2019
356,BANTEN,7.55,8.11,2019
357,BALI,1.22,1.57,2019
358,NUSA TENGGARA BARAT,3.15,3.28,2019
359,NUSA TENGGARA TIMUR,2.98,3.14,2019
360,KALIMANTAN BARAT,4.06,4.35,2019
361,KALIMANTAN TENGAH,3.21,4.04,2019
362,KALIMANTAN SELATAN,3.41,4.18,2019
363,KALIMANTAN TIMUR,6.65,5.94,2019
364,KALIMANTAN UTARA,5.84,4.49,2019
365,SULAWESI UTARA,5.17,6.01,2019
366,SULAWESI TENGAH,3.46,3.11,2019
367,SULAWESI SELATAN,5.1,4.62,2019
368,SULAWESI TENGGARA,2.88,3.52,2019
369,GORONTALO,3.25,3.76,2019
370,SULAWESI BARAT,1.29,2.98,2019
371,MALUKU,6.61,6.69,2019
372,MALUKU UTARA,4.96,4.81,2019
373,PAPUA BARAT,5.81,6.43,2019
374,PAPUA BARAT DAYA,6.3149999999999995,6.48,2019
375,PAPUA,3.22,3.51,2019
376,PAPUA SELATAN,4.825,4.05,2019
377,PAPUA TENGAH,3.02,2.75,2019
378,PAPUA PEGUNUNGAN,1.43,1.32,2019
379,INDONESIA,4.98,5.23,2019
380,SUMATERA UTARA,4.71,6.91,2020
381,SUMATERA BARAT,5.25,6.88,2020
382,RIAU,4.92,6.32,2020
383,JAMBI,4.26,5.13,2020
384,SUMATERA SELATAN,3.9,5.51,2020
385,BENGKULU,3.08,4.07,2020
386,LAMPUNG,4.26,4.67,2020
387,KEP. BANGKA BELITUNG,3.35,5.25,2020
388,KEP. RIAU,5.98,10.34,2020
389,DKI JAKARTA,5.15,10.95,2020
390,JAWA BARAT,7.71,10.46,2020
391,JAWA TENGAH,4.2,6.48,2020
392,DI YOGYAKARTA,3.38,4.57,2020
393,JAWA TIMUR,3.6,5.84,2020
394,BANTEN,7.99,10.64,2020
395,BALI,1.25,5.63,2020
396,NUSA TENGGARA BARAT,3.04,4.22,2020
397,NUSA TENGGARA TIMUR,2.64,4.28,2020
398,KALIMANTAN BARAT,4.47,5.81,2020
399,KALIMANTAN TENGAH,3.33,4.58,2020
400,KALIMANTAN SELATAN,3.67,4.74,2020
401,KALIMANTAN TIMUR,6.72,6.87,2020
402,KALIMANTAN UTARA,5.71,4.97,2020
403,SULAWESI UTARA,5.34,7.37,2020
404,SULAWESI TENGAH,2.93,3.77,2020
405,SULAWESI SELATAN,5.7,6.31,2020
406,SULAWESI TENGGARA,3.1,4.58,2020
407,GORONTALO,3.29,4.28,2020
408,SULAWESI BARAT,2.39,3.32,2020
409,MALUKU,6.71,7.57,2020
410,MALUKU UTARA,4.09,5.15,2020
411,PAPUA BARAT,6.78,6.8,2020
412,PAPUA BARAT DAYA,6.3149999999999995,6.48,2020
413,PAPUA,3.42,4.28,2020
414,PAPUA SELATAN,4.825,4.05,2020
415,PAPUA TENGAH,3.02,2.75,2020
416,PAPUA PEGUNUNGAN,1.43,1.32,2020
417,INDONESIA,4.94,7.07,2020
418,SUMATERA UTARA,6.01,6.33,2021
419,SUMATERA BARAT,6.67,6.52,2021
420,RIAU,4.96,4.42,2021
421,JAMBI,4.76,5.09,2021
422,SUMATERA SELATAN,5.17,4.98,2021
423,BENGKULU,3.72,3.65,2021
424,LAMPUNG,4.54,4.69,2021
425,KEP. BANGKA BELITUNG,5.04,5.03,2021
426,KEP. RIAU,10.12,9.91,2021
427,DKI JAKARTA,8.51,8.5,2021
428,JAWA BARAT,8.92,9.82,2021
429,JAWA TENGAH,5.96,5.95,2021
430,DI YOGYAKARTA,4.28,4.56,2021
431,JAWA TIMUR,5.17,5.74,2021
432,BANTEN,9.01,8.98,2021
433,BALI,5.42,5.37,2021
434,NUSA TENGGARA BARAT,3.97,3.01,2021
435,NUSA TENGGARA TIMUR,3.38,3.77,2021
