,Tahun,Inflation Percentage,Bulan
167,2011,6.16 %,April
168,2011,6.65 %,Maret
169,2011,6.84 %,Februari
170,2011,7.02 %,Januari
171,2010,6.96 %,Desember
172,2010,6.33 %,November
173,2010,5.67 %,Oktober
174,2010,5.8 %,September
175,2010,6.44 %,Agustus
176,2010,6.22 %,Juli
177,2010,5.05 %,Juni
178,2010,4.16 %,Mei
179,2010,3.91 %,April
180,2010,3.43 %,Maret
181,2010,3.81 %,Februari
182,2010,3.72 %,Januari
183,2009,2.78 %,Desember
184,2009,2.41 %,November
185,2009,2.57 %,Oktober
186,2009,2.83 %,September
187,2009,2.75 %,Agustus
188,2009,2.71 %,Juli
189,2009,3.65 %,Juni
190,2009,6.04 %,Mei
191,2009,7.31 %,April
192,2009,7.92 %,Maret
193,2009,8.6 %,Februari
194,2009,9.17 %,Januari
195,2008,11.06 %,Desember
196,2008,11.68 %,November
197,2008,11.77 %,Oktober
198,2008,12.14 %,September
199,2008,11.85 %,Agustus
200,2008,11.9 %,Juli
201,2008,11.03 %,Juni
202,2008,10.38 %,Mei
203,2008,8.96 %,April
204,2008,8.17 %,Maret
205,2008,7.4 %,Februari
206,2008,7.36 %,Januari
207,2007,6.59 %,Desember
208,2007,6.71 %,November
209,2007,6.88 %,Oktober
210,2007,6.95 %,September
211,2007,6.51 %,Agustus
212,2007,6.06 %,Juli
213,2007,5.77 %,Juni
214,2007,6.01 %,Mei
215,2007,6.29 %,April
216,2007,6.52 %,Maret
217,2007,6.3 %,Februari
218,2007,6.26 %,Januari
219,2006,6.6 %,Desember
220,2006,5.27 %,November
221,2006,6.29 %,Oktober
222,2006,14.55 %,September
223,2006,14.9 %,Agustus
224,2006,15.15 %,Juli
225,2006,15.53 %,Juni
226,2006,15.6 %,Mei
227,2006,15.4 %,April
228,2006,15.74 %,Maret
229,2006,17.92 %,Februari
230,2006,17.03 %,Januari
231,2005,17.11 %,Desember
232,2005,18.38 %,November
233,2005,17.89 %,Oktober
234,2005,9.06 %,September
235,2005,8.33 %,Agustus
236,2005,7.84 %,Juli
237,2005,7.42 %,Juni
238,2005,7.4 %,Mei
239,2005,8.12 %,April
240,2005,8.81 %,Maret
241,2005,7.15 %,Februari
242,2005,7.32 %,Januari
243,2004,6.4 %,Desember
244,2004,6.18 %,November
245,2004,6.22 %,Oktober
246,2004,6.27 %,September
247,2004,6.67 %,Agustus
248,2004,7.2 %,Juli
249,2004,6.83 %,Juni
250,2004,6.47 %,Mei
251,2004,5.92 %,April
252,2004,5.11 %,Maret
253,2004,4.6 %,Februari
254,2004,4.82 %,Januari
255,2003,5.16 %,Desember
256,2003,5.53 %,November
257,2003,6.48 %,Oktober
258,2003,6.33 %,September
259,2003,6.51 %,Agustus
260,2003,6.27 %,Juli
261,2003,6.98 %,Juni
262,2003,7.15 %,Mei
263,2003,7.62 %,April
264,2003,7.17 %,Maret
265,2003,7.6 %,Februari
266,2003,8.68 %,Januari
267,2002,0 %,Desember
