,Provinsi (PDRB),Pengeluaran Konsumsi Rumah Tangga Triwulan I,Pengeluaran Konsumsi Rumah Tangga Triwulan II,Pengeluaran Konsumsi Rumah Tangga Triwulan III,Pengeluaran Konsumsi Rumah Tangga Triwulan IV,Pengeluaran Konsumsi Rumah Tangga Tahunan,Pengeluaran Konsumsi LNPRT Triwulan I,Pengeluaran Konsumsi LNPRT Triwulan II,Pengeluaran Konsumsi LNPRT Triwulan III,Pengeluaran Konsumsi LNPRT Triwulan IV,Pengeluaran Konsumsi LNPRT Tahunan,Pengeluaran Konsumsi Pemerintah Triwulan I,Pengeluaran Konsumsi Pemerintah Triwulan II,Pengeluaran Konsumsi Pemerintah Triwulan III,Pengeluaran Konsumsi Pemerintah Triwulan IV,Pengeluaran Konsumsi Pemerintah Tahunan,Pembentukan Modal Tetap Bruto Triwulan I,Pembentukan Modal Tetap Bruto Triwulan II,Pembentukan Modal Tetap Bruto Triwulan III,Pembentukan Modal Tetap Bruto Triwulan IV,Pembentukan Modal Tetap Bruto Tahunan,Perubahan Inventori Triwulan I,Perubahan Inventori Triwulan II,Perubahan Inventori Triwulan III,Perubahan Inventori Triwulan IV,Perubahan Inventori Tahunan,Net Ekspor Triwulan I,Net Ekspor Triwulan II,Net Ekspor Triwulan III,Net Ekspor Triwulan IV,Net Ekspor Tahunan,PDRB Triwulan I,PDRB Triwulan II,PDRB Triwulan III,PDRB Triwulan IV,PDRB Tahunan,Tahun
33,PAPUA BARAT DAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
34,PAPUA,9364.33,9601.43,9918.14,10368.4,39252.31,288.36,315.65,378.74,419.28,1402.02,3839.29,3975.25,4599.37,5775.64,18189.54,5689.8,5941.28,6298.53,7080.17,25009.78,4582.9,-3566.33,1305.61,-5423.91,-3101.73,1259.66,8030.79,6829.27,13936.54,30056.26,25024.34,24298.06,29329.65,32156.12,110808.18,2010
35,PAPUA SELATAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
36,PAPUA TENGAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
37,PAPUA PEGUNUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
38,TOTAL,891626.65,924757.83,975898.5,993491.68,3785774.66,17119.04,17784.18,18698.03,19157.62,72758.87,99007.86,136652.01,161852.62,220665.5,618177.99,486563.28,518451.46,548365.25,574476.31,2127856.3,29251.51,50174.98,83247.62,-17154.61,145519.5,89926.42,38643.97,-18000.36,3475.77,114045.8,1613494.77,1686464.42,1770061.67,1794112.26,6864133.13,2010
39,ACEH,14740.88,14385.98,15015.29,15322.07,59464.21,374.28,371.12,395.07,414.95,1555.43,3590.0,4315.79,5949.52,8948.87,22804.18,7798.48,8379.85,8995.55,9152.53,34326.41,34.41,43.38,56.66,61.53,195.98,-379.6,-784.62,-2968.32,-5996.05,-10128.58,26158.44,26711.5,27443.78,27903.9,108217.63,2011
40,SUMATERA UTARA,47352.97,48383.43,50578.15,51836.89,198151.44,980.8,994.87,1016.28,1028.95,4020.89,5491.77,6792.02,7877.58,9407.15,29568.52,26885.02,27551.13,28592.49,30081.46,113110.11,1361.96,-203.68,2163.53,1208.35,4530.16,9082.48,7334.02,6069.92,5169.56,27655.98,91155.0,90851.78,96297.96,98732.36,377037.1,2011
41,SUMATERA BARAT,16016.14,16030.31,16544.9,17076.81,65668.17,291.16,294.2,307.49,319.25,1212.09,2474.78,3315.23,4144.15,5922.28,15856.44,8483.38,8673.63,9177.95,9632.79,35967.75,28.1,108.09,238.55,222.5,597.25,949.65,825.92,-30.34,-2372.64,-627.41,28243.21,29247.39,30382.7,30800.99,118674.29,2011
42,RIAU,28968.79,30842.78,33400.14,35312.11,128523.81,399.72,404.28,421.28,425.66,1650.93,3574.29,3924.75,4739.22,6106.55,18344.81,27592.98,28897.56,30074.79,31396.43,117961.77,11895.81,4391.76,5825.56,-1228.24,20884.9,34454.24,47363.04,53003.06,63462.77,198283.12,106885.83,115824.19,127464.04,135475.28,485649.34,2011
43,JAMBI,11743.24,11771.83,12595.72,12727.41,48838.21,120.48,120.09,126.19,126.95,493.71,1363.95,2103.92,2607.56,3342.24,9417.67,5241.34,5500.83,5732.55,6286.43,22761.16,-510.64,-653.94,-703.64,-1402.18,-3270.4,4684.0,5858.58,6828.53,7911.46,25282.57,22642.38,24701.31,27186.92,28992.31,103522.91,2011
44,SUMATERA SELATAN,32881.24,35085.75,38102.72,39281.13,145350.84,684.3,714.13,756.04,766.31,2920.77,3791.72,4384.65,5033.6,5290.95,18500.92,20683.98,22174.87,23267.26,24740.92,90867.02,-620.66,-589.06,856.37,275.69,-77.66,-5667.16,-6561.93,-7638.14,-11027.73,-30894.97,51753.41,55208.42,60377.84,59327.26,226666.93,2011
45,BENGKULU,4838.18,4961.22,5195.4,5302.88,20297.69,186.4,200.99,225.13,210.48,823.01,1402.17,1466.82,1588.52,1756.48,6214.0,2914.42,3146.38,3326.09,3586.64,12973.53,160.13,155.83,181.02,185.24,682.23,-1980.15,-2059.13,-2237.25,-2514.22,-8790.75,7521.17,7872.1,8278.92,8527.51,32199.71,2011
46,LAMPUNG,24585.24,25042.55,26450.59,26886.51,102964.89,479.04,494.63,570.1,589.92,2133.69,2347.97,3144.4,3966.73,5059.04,14518.14,11905.69,12583.67,13618.9,14227.2,52335.47,654.56,543.59,242.95,200.84,1641.94,1665.12,1569.39,-793.14,-5988.71,-3547.34,41637.62,43378.23,44056.14,40974.8,170046.79,2011
47,KEP. BANGKA BELITUNG,4740.66,4910.4,5204.46,5301.67,20157.18,47.83,48.99,51.31,52.55,200.67,872.68,940.68,1049.74,1172.73,4035.83,2077.33,2169.01,2246.84,2323.68,8816.85,252.71,265.63,391.07,380.68,1290.09,1793.43,1814.32,1502.92,1237.74,6348.41,9784.63,10149.04,10446.33,10469.04,40849.04,2011
48,KEP. RIAU,10922.19,11164.93,11767.53,11964.11,45818.76,63.8,67.22,71.04,72.97,275.04,718.59,1509.01,1975.69,3395.72,7599.01,12036.22,12842.01,13264.07,13818.46,51960.77,-382.65,-498.78,-447.72,-143.45,-1472.6,5945.12,5970.78,5788.64,5028.69,22733.23,29303.28,31055.17,32419.26,34136.49,126914.2,2011
49,DKI JAKARTA,170043.41,175112.65,182115.9,186506.84,713778.8,4811.1,5113.18,5543.34,5771.2,21238.82,20050.68,34608.44,42441.73,62201.19,159302.05,127324.48,130916.8,136700.48,149020.31,543962.08,1045.03,833.43,760.93,179.22,2818.61,-32671.58,-47011.81,-53317.94,-83880.54,-216881.87,290603.12,299572.7,314244.43,319798.23,1224218.48,2011
50,JAWA BARAT,159163.57,166545.06,173169.08,172280.96,671158.67,1537.45,1590.73,1621.66,1646.34,6396.18,9080.81,12097.0,17290.88,21318.24,59786.93,58043.86,62453.17,63184.75,68785.66,252467.43,14429.66,13841.36,8963.86,4712.21,41947.08,3893.35,-9344.8,2155.64,-6831.87,-10127.68,246148.69,247182.51,266385.87,261911.53,1021628.6,2011
51,JAWA TENGAH,103867.78,105533.02,108661.22,111850.42,429912.44,1623.53,1684.04,1785.58,1875.09,6968.24,7559.82,11856.29,15366.31,20500.56,55282.98,45417.45,47878.57,50085.32,55040.06,198421.41,22851.75,21377.34,9240.68,-20221.07,33248.7,-17191.45,-15993.15,-2518.32,4430.77,-31272.14,164128.88,172336.11,182620.8,173475.83,692561.63,2011
52,DI YOGYAKARTA,10531.39,10787.35,11266.47,11444.37,44029.58,446.15,456.39,474.55,489.86,1866.94,2310.29,2573.19,2960.19,3195.99,11039.65,4218.13,4448.57,4939.61,5719.25,19325.55,655.87,183.76,221.61,-126.1,935.15,-1092.14,-1151.06,-1383.09,-2200.63,-5826.92,17069.69,17298.19,18479.34,18522.74,71369.96,2011
53,JAWA TIMUR,167410.38,172494.74,178999.77,184438.2,703343.08,3095.57,3129.58,3235.1,3300.93,12761.18,12088.03,15388.09,18184.98,24869.8,70530.91,72072.51,75414.37,79236.24,81570.07,308293.2,3843.82,2090.48,2358.36,-2591.28,5701.37,4850.34,9148.09,10823.66,-4874.67,19947.42,263360.65,277665.35,292838.11,286713.05,1120577.16,2011
54,BANTEN,43556.29,44003.05,46490.8,47124.72,181174.86,353.86,362.82,384.83,391.9,1493.41,2954.84,3318.36,3912.26,4505.06,14690.53,20856.51,23504.41,23508.47,25372.24,93241.63,3233.55,2449.41,1569.87,441.48,7694.32,2689.79,1372.75,2463.44,1353.55,7879.53,73644.84,75010.8,78329.68,79188.97,306174.29,2011
55,BALI,14183.57,14734.8,15317.87,15476.97,59713.2,265.0,271.58,291.39,303.94,1131.92,1504.7,2790.76,3128.75,5348.46,12772.67,8130.01,8503.14,8901.16,9372.93,34907.24,501.35,427.87,375.99,196.25,1501.45,-437.03,-1010.96,-707.99,-3258.31,-5414.3,24147.61,25717.18,27307.17,27440.23,104612.19,2011
56,NUSA TENGGARA BARAT,11274.22,11524.91,11965.38,12557.07,47321.57,210.18,210.37,221.7,233.71,875.96,2165.69,2469.57,2777.28,2986.99,10399.53,4764.91,5123.95,5684.98,6158.78,21732.62,1241.5,-731.81,-883.45,-6158.73,-6532.49,-2877.89,-2564.96,-1078.75,901.1,-5620.51,16778.61,16032.02,18687.14,16678.93,68176.69,2011
57,NUSA TENGGARA TIMUR,8967.9,9061.1,9805.23,10529.03,38363.27,307.95,330.45,345.89,361.02,1345.32,2264.25,3932.85,4439.75,3298.12,13934.97,3009.41,3227.98,4577.58,5351.8,16166.78,241.65,320.73,312.7,269.53,1144.62,-3463.15,-4754.19,-6973.17,-6949.19,-22139.71,11328.01,12118.91,12508.0,12860.32,48815.24,2011
58,KALIMANTAN BARAT,12717.76,13098.7,13830.36,14033.39,53680.21,233.22,240.31,248.98,256.71,979.22,2276.39,2768.7,3279.72,3953.24,12278.04,7593.38,7742.05,7449.24,8502.05,31286.72,793.2,655.12,566.05,475.26,2489.62,-1942.45,-1672.31,-157.34,-214.59,-3986.69,21671.51,22832.56,25217.01,27006.05,96727.13,2011
