,Provinsi (PDRB),Pengeluaran Konsumsi Rumah Tangga Triwulan I,Pengeluaran Konsumsi Rumah Tangga Triwulan II,Pengeluaran Konsumsi Rumah Tangga Triwulan III,Pengeluaran Konsumsi Rumah Tangga Triwulan IV,Pengeluaran Konsumsi Rumah Tangga Tahunan,Pengeluaran Konsumsi LNPRT Triwulan I,Pengeluaran Konsumsi LNPRT Triwulan II,Pengeluaran Konsumsi LNPRT Triwulan III,Pengeluaran Konsumsi LNPRT Triwulan IV,Pengeluaran Konsumsi LNPRT Tahunan,Pengeluaran Konsumsi Pemerintah Triwulan I,Pengeluaran Konsumsi Pemerintah Triwulan II,Pengeluaran Konsumsi Pemerintah Triwulan III,Pengeluaran Konsumsi Pemerintah Triwulan IV,Pengeluaran Konsumsi Pemerintah Tahunan,Pembentukan Modal Tetap Bruto Triwulan I,Pembentukan Modal Tetap Bruto Triwulan II,Pembentukan Modal Tetap Bruto Triwulan III,Pembentukan Modal Tetap Bruto Triwulan IV,Pembentukan Modal Tetap Bruto Tahunan,Perubahan Inventori Triwulan I,Perubahan Inventori Triwulan II,Perubahan Inventori Triwulan III,Perubahan Inventori Triwulan IV,Perubahan Inventori Tahunan,Net Ekspor Triwulan I,Net Ekspor Triwulan II,Net Ekspor Triwulan III,Net Ekspor Triwulan IV,Net Ekspor Tahunan,PDRB Triwulan I,PDRB Triwulan II,PDRB Triwulan III,PDRB Triwulan IV,PDRB Tahunan,Tahun
135,NUSA TENGGARA TIMUR,11131.78,11100.31,11960.87,13149.12,47342.07,425.93,432.98,477.26,532.13,1868.3,2905.39,4109.64,5954.89,4113.08,17083.01,4458.59,4924.51,5064.81,6172.43,20620.34,262.81,277.38,346.76,277.38,1164.33,-5254.63,-5844.37,-7665.16,-7988.64,-26752.79,13929.88,15000.45,16139.43,16255.5,61325.26,2013
136,KALIMANTAN BARAT,16172.55,16665.4,17188.45,17386.1,67412.5,331.64,338.8,348.46,357.55,1376.46,2696.15,3331.3,3981.96,4638.91,14648.32,9201.98,10413.92,9950.73,10895.97,40462.61,786.14,486.65,330.59,402.35,2005.73,-1728.1,-2586.87,-1238.93,-1710.75,-7264.66,27460.35,28649.2,30561.27,31970.13,118640.96,2013
137,KALIMANTAN TENGAH,8340.78,8413.63,8879.85,8984.65,34618.91,244.78,245.8,270.15,278.45,1039.17,2602.81,2868.98,2998.33,3437.46,11907.58,8537.66,8907.45,9604.71,9986.44,37036.27,216.62,-85.33,341.47,227.61,700.37,-446.54,-555.37,-928.27,-1415.2,-3345.38,19496.11,19795.16,21166.23,21499.42,81956.92,2013
138,KALIMANTAN SELATAN,12778.35,13045.65,13490.17,13684.07,52998.24,219.32,224.89,246.67,262.98,953.86,3040.62,3636.61,3743.67,4560.33,14981.23,5944.25,6370.02,6736.33,7274.23,26324.83,-446.48,545.18,341.43,13.0,453.14,4573.61,4430.04,6345.37,4797.88,20146.9,26109.66,28252.39,30903.65,30592.5,115858.2,2013
139,KALIMANTAN TIMUR,17462.89,17850.43,18861.59,19221.51,73396.42,385.62,415.47,464.37,500.91,1766.36,2023.28,3705.09,4627.09,9926.15,20281.62,31573.87,32224.28,32173.77,33111.72,129083.65,3112.3,3803.82,1661.9,1264.92,9842.94,75319.83,70518.55,72146.35,66776.16,284760.88,129877.79,128517.63,129935.08,130801.36,519131.87,2013
140,KALIMANTAN UTARA,2371.99,2420.08,2558.91,2602.39,9953.37,84.82,91.75,102.89,111.29,390.75,481.61,906.56,1164.48,2570.57,5123.22,3791.53,3904.21,3911.59,4014.58,15621.92,301.34,373.3,137.48,77.01,889.13,5514.71,5011.68,5627.81,4472.11,20626.31,12545.99,12707.58,13503.17,13847.96,52604.7,2013
141,SULAWESI UTARA,7845.67,7824.17,8264.65,8846.81,32781.3,352.38,362.98,392.51,380.86,1488.74,2695.81,2985.09,3138.72,3530.19,12349.8,5641.22,5971.37,6081.44,6758.3,24452.33,19.94,22.47,9.79,3.89,56.09,-913.16,-37.1,306.95,612.5,-30.81,15641.85,17128.98,18194.07,20132.56,71097.46,2013
142,SULAWESI TENGAH,10370.14,10502.75,11418.2,11696.52,43987.61,336.96,348.3,369.13,391.84,1446.22,2623.57,2898.82,3011.32,3250.2,11783.91,7428.41,7853.48,8091.66,8179.73,31553.28,513.27,601.56,294.97,247.33,1657.13,-2552.55,-2640.22,-2955.16,-2437.99,-10585.92,18719.8,19564.69,20230.12,21327.62,79842.22,2013
143,SULAWESI SELATAN,34608.77,35349.71,38260.95,38423.65,146643.07,716.07,731.47,802.05,833.83,3083.42,3416.17,6933.69,7325.29,11043.79,28718.94,20783.45,22787.19,25090.42,26222.63,94883.7,3125.72,4778.16,-863.66,-2620.23,4419.98,-3352.83,-6441.2,-1014.3,-8104.37,-18912.69,59297.35,64139.03,69600.75,65799.29,258836.42,2013
144,SULAWESI TENGGARA,8552.51,8844.65,9437.33,9654.77,36489.26,188.19,187.23,189.52,194.03,758.97,2223.16,2691.42,2777.46,3205.17,10897.2,5975.16,6130.15,6424.59,6944.01,25473.91,-149.3,323.77,460.97,-343.01,292.42,-856.89,-429.71,-811.59,-772.32,-2870.51,15932.82,17747.5,18478.28,18882.65,71041.25,2013
145,GORONTALO,3271.87,3317.93,3540.81,3587.18,13717.79,35.1,34.28,37.34,38.78,145.5,906.56,1382.21,1451.14,1757.68,5497.58,1579.89,1653.42,1776.48,1891.9,6901.69,124.5,151.54,65.6,45.52,387.17,-606.8,-1072.24,-1085.67,-1755.74,-4520.45,5311.12,5467.15,5785.69,5565.32,22129.28,2013
146,SULAWESI BARAT,3306.51,3361.36,3659.62,3686.94,14014.43,45.42,47.68,52.32,54.39,199.81,926.41,1086.45,1186.61,1495.27,4694.73,1603.14,1738.7,1844.14,1966.18,7152.16,229.29,222.06,-43.43,-149.96,257.95,-323.48,-161.49,-137.14,-447.49,-1069.6,5787.29,6294.75,6562.12,6605.33,25249.49,2013
147,MALUKU,4052.62,4290.61,4728.68,5095.39,18167.3,149.41,149.22,152.92,154.8,606.35,2211.52,2669.93,2861.4,3088.35,10831.19,1989.49,1827.84,2017.39,2162.16,7996.87,91.33,93.9,51.07,44.83,281.12,-2127.85,-2311.37,-2715.94,-2893.23,-10048.4,6366.5,6720.14,7095.51,7652.29,27834.44,2013
148,MALUKU UTARA,3071.85,3097.74,3272.26,3306.98,12748.84,57.39,60.38,63.1,66.19,247.06,1576.7,1707.41,1756.57,1862.64,6903.32,1336.58,1368.41,1412.35,1456.07,5573.41,-181.54,926.73,774.64,-1145.76,374.07,-740.07,-1855.25,-1836.47,24.58,-4407.21,5120.91,5305.43,5442.46,5570.69,21439.49,2013
149,PAPUA BARAT,3189.48,3260.2,3412.63,3513.44,13375.76,97.1,106.35,116.9,129.83,450.18,2053.46,2467.89,2720.09,3054.77,10296.2,2241.51,2358.99,2732.17,2860.83,10193.5,448.8,-379.71,-611.0,-623.59,-1165.49,4100.89,4780.45,5567.73,5398.43,19847.51,12131.25,12594.17,13938.53,14333.71,52997.66,2013
150,PAPUA BARAT DAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
151,PAPUA,13393.19,13826.09,14612.37,15492.31,57323.96,506.29,521.46,555.95,578.68,2162.38,5674.28,6219.72,6475.69,7806.55,26176.24,8283.9,8822.2,9354.75,9879.24,36340.09,175.51,-142.99,144.13,159.11,335.76,1906.21,-4940.89,41.02,3512.4,518.74,29939.38,24305.6,31183.91,37428.29,122857.17,2013
152,PAPUA SELATAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
153,PAPUA TENGAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
154,PAPUA PEGUNUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
155,TOTAL,1253032.7,1279716.94,1359710.54,1377826.58,5270286.76,24213.05,25175.51,27061.12,29140.94,105590.62,148634.43,211207.29,236108.13,308096.71,904046.56,696358.82,739962.17,775034.15,810188.15,3021543.29,76692.35,76038.82,38221.69,6923.3,197876.15,73497.2,20211.46,45708.98,-32611.87,106805.77,2272428.55,2352312.18,2481844.6,2499563.81,9606149.15,2013
156,ACEH,17858.74,18022.1,18947.98,19356.39,74185.22,606.78,623.18,571.92,616.39,2418.27,5453.71,6599.6,8258.99,11151.23,31463.53,10724.53,10585.53,10854.0,11008.67,43172.72,-109.63,138.9,-51.28,65.12,43.11,-3320.63,-3955.79,-5937.71,-10171.65,-23385.78,31213.5,32013.52,32643.9,32026.15,127897.07,2014
157,SUMATERA UTARA,67391.78,69135.91,71748.58,73155.11,281431.38,1274.01,1296.1,1215.03,1268.71,5053.86,8230.44,9545.61,10503.69,12518.82,40798.56,39299.88,40806.48,41588.64,43006.34,164701.34,3657.96,3567.23,1473.42,1739.31,10437.92,6939.43,2402.39,5930.15,4259.93,19531.89,126793.51,126753.72,132459.5,135948.22,521954.95,2014
158,SUMATERA BARAT,21218.91,21626.04,22390.31,23047.34,88282.6,455.56,468.83,451.22,473.64,1849.25,3712.77,4731.96,5258.16,7919.57,21622.47,11486.16,12072.12,12549.4,13576.64,49684.32,-37.32,124.71,90.14,-33.51,144.02,1880.92,1396.61,1903.56,-1819.49,3361.6,38717.0,40420.27,42642.8,43164.18,164944.26,2014
159,RIAU,46277.86,47873.1,50672.42,52339.44,197162.82,637.44,673.93,699.04,718.06,2728.47,4219.09,4710.05,5449.06,6184.71,20562.9,40287.94,42859.12,44320.04,45752.76,173219.86,7336.01,11633.48,10780.96,382.88,30133.34,66306.0,64624.9,65819.29,58838.29,255588.49,165064.33,172374.59,177740.81,164216.13,679395.86,2014
160,JAMBI,15988.72,16276.45,17019.88,17517.3,66802.36,186.08,196.25,193.03,200.85,776.21,2060.33,2722.7,3367.54,4849.61,13000.17,7699.15,8148.86,8859.64,10243.65,34951.3,970.17,812.73,1034.41,-1478.7,1338.6,7802.59,8003.22,6636.62,5503.35,27945.78,34707.03,36160.22,37111.11,36836.05,144814.42,2014
161,SUMATERA SELATAN,49898.31,50562.22,53103.3,54644.57,208208.39,1057.54,1178.05,1127.78,1155.42,4518.79,5206.36,5853.04,6037.43,7347.94,24444.77,29376.75,30745.12,32070.97,33204.78,125397.63,1066.07,688.91,550.07,-466.38,1838.67,-13628.24,-14035.47,-13002.98,-17319.96,-57986.65,72976.8,74991.88,79886.56,78566.36,306421.6,2014
162,BENGKULU,7044.28,7176.64,7512.43,7743.13,29476.48,292.06,300.25,307.2,310.12,1209.63,1945.46,2109.87,2279.22,2516.12,8850.67,4550.0,4642.39,4826.6,5036.5,19055.49,293.68,307.52,313.21,308.4,1222.82,-3249.82,-3425.75,-3744.85,-4004.77,-14425.18,10875.66,11110.92,11493.83,11909.5,45389.9,2014
163,LAMPUNG,32844.52,33503.31,35676.25,36440.9,138464.98,742.37,751.09,738.71,761.47,2993.65,3615.15,4997.25,5137.05,6948.43,20697.89,16865.08,17413.88,18119.8,18616.59,71015.35,219.35,333.35,273.83,67.1,893.63,1680.1,1190.94,1101.27,-7243.36,-3271.05,55966.58,58189.83,61046.91,55591.14,230794.45,2014
164,KEP. BANGKA BELITUNG,6926.18,7197.91,7499.35,7708.86,29332.29,78.63,83.13,87.04,90.71,339.52,1279.37,1359.19,1485.58,1644.49,5768.63,2940.87,3179.88,3339.98,3522.8,12983.53,295.93,279.98,375.6,276.21,1227.72,1898.04,1829.08,1513.65,1481.16,6721.93,13419.02,13929.16,14301.2,14724.23,56373.62,2014
165,KEP. RIAU,15133.73,15285.23,16327.14,16979.43,63725.52,102.37,107.29,103.18,104.69,417.52,1028.67,2114.21,2779.9,5039.91,10962.69,17798.04,18556.87,19379.82,20339.6,76074.33,1020.91,1465.03,1089.52,258.44,3833.9,7719.08,7114.78,6549.51,4482.64,25866.02,42802.81,44643.4,46229.06,47204.71,180879.98,2014
166,DKI JAKARTA,253034.6,257841.78,272607.88,281603.88,1065088.14,9223.71,9526.4,8135.04,8491.18,35376.32,32602.92,53066.36,59117.43,77872.69,222659.4,179981.85,187893.65,190816.05,198073.43,756764.98,3582.43,3813.49,3807.49,4365.82,15569.23,-63597.18,-80331.16,-87007.37,-102205.96,-333141.66,414828.33,431810.52,447476.52,468201.03,1762316.4,2014
167,JAWA BARAT,211267.44,214716.02,224734.18,230391.75,881109.4,2579.75,2603.99,1926.48,2079.36,9189.59,16114.52,18460.57,21173.59,25454.01,81202.69,80151.75,83559.73,86845.71,95452.39,346009.58,20383.93,27616.35,15797.29,820.2,64617.77,892.22,-2882.13,4578.05,1107.9,3696.05,331389.62,344074.54,355055.3,355305.62,1385825.08,2014
168,JAWA TENGAH,137065.2,139921.69,146194.72,147251.78,570433.4,2707.2,2788.12,2540.89,2736.96,10773.17,10870.99,15872.81,19480.31,29332.33,75556.45,63823.71,67337.9,69378.42,74018.44,274558.46,7394.62,9193.69,9974.53,491.67,27054.49,-608.96,-6012.41,-7416.53,-21866.9,-35904.8,221252.76,229101.79,240152.34,231964.28,922471.18,2014
169,DI YOGYAKARTA,14765.75,15382.43,16155.23,16571.73,62875.14,725.88,770.41,717.85,734.28,2948.43,3245.77,3407.73,3887.45,4806.48,15347.43,6145.85,6365.23,7150.39,8083.32,27744.79,474.43,524.27,-80.68,62.18,980.2,-2856.83,-3988.38,-3886.59,-6321.7,-17053.5,22500.84,22461.7,23943.65,23936.3,92842.48,2014
170,JAWA TIMUR,229382.67,231150.53,244179.26,244630.97,949343.44,4693.34,4902.26,4583.67,4874.58,19053.85,17548.76,22278.17,25988.4,31128.92,96944.24,97286.64,105589.13,110587.41,109309.18,422772.36,14353.64,17713.47,12798.58,2282.28,47147.97,5181.67,1275.68,908.82,-4680.4,2685.77,368446.71,382909.24,399046.15,387545.53,1537947.63,2014
171,BANTEN,56280.17,57292.93,59513.4,60948.6,234035.09,497.43,509.03,497.82,521.33,2025.61,3881.25,4339.67,4777.59,6239.07,19237.58,29467.0,30360.91,30641.29,33631.01,124100.21,276.3,620.28,433.34,141.69,1471.61,10796.04,12354.5,12906.22,11813.21,47869.97,101198.19,105477.32,108769.66,113294.91,428740.07,2014
172,BALI,18041.54,18743.39,19456.92,20226.18,76468.02,461.84,469.13,528.67,508.83,1968.47,2191.26,4063.09,4520.23,5211.21,15985.79,11445.92,11840.68,12295.04,13065.92,48647.55,399.41,546.97,455.72,131.53,1533.64,3554.36,2267.13,3131.5,2839.26,11792.26,36094.33,37930.38,40388.08,41982.95,156395.73,2014
173,NUSA TENGGARA BARAT,14997.2,15122.66,15706.49,16191.7,62018.05,344.43,341.28,343.12,357.06,1385.89,2959.53,3530.69,4087.57,4809.81,15387.61,6377.85,8410.37,8104.88,8953.19,31846.29,757.96,800.18,-426.07,-257.92,874.15,-6625.83,-8474.96,-7020.92,-7769.55,-29891.26,18811.14,19730.23,20795.08,22284.27,81620.73,2014
174,NUSA TENGGARA TIMUR,12466.61,12162.63,12424.82,13638.41,50692.47,572.06,622.35,548.67,580.68,2323.76,2578.2,5051.95,7171.99,4683.98,19486.12,6076.8,5655.66,6890.18,8037.69,26660.33,167.81,282.38,296.76,277.38,1024.33,-6054.18,-7142.85,-9277.5,-9212.06,-31686.58,15807.3,16632.12,18054.93,18006.09,68500.43,2014
175,KALIMANTAN BARAT,17768.01,18234.7,18920.82,19402.57,74326.1,395.18,386.3,391.78,394.52,1567.78,3063.94,3933.88,4596.34,5485.92,17080.09,9891.83,11062.59,11531.47,12572.58,45058.46,664.9,495.82,247.6,372.01,1780.33,-764.56,-2094.66,-1735.84,-2872.41,-7467.46,31019.3,32018.62,33952.17,35355.2,132345.29,2014
176,KALIMANTAN TENGAH,9180.91,9326.35,9620.96,9901.78,38030.0,290.57,295.38,292.26,304.94,1183.15,2943.77,3284.87,3428.97,3855.54,13513.16,9811.37,10050.63,10592.48,10842.9,41297.38,432.16,301.72,363.18,301.57,1398.62,-781.12,-1191.35,-1426.63,-2133.33,-5532.43,21877.66,22067.6,22871.21,23073.41,89889.88,2014
177,KALIMANTAN SELATAN,14004.1,14307.87,14946.43,15316.17,58574.58,270.03,287.01,298.34,314.65,1170.03,3204.82,3871.98,3946.32,5007.54,16030.65,6608.0,6984.33,7483.06,8131.14,29206.52,69.87,-40.92,194.64,55.32,278.91,5239.33,6589.45,6928.38,3864.43,22621.59,29396.16,31999.73,33797.15,32689.24,127882.28,2014
178,KALIMANTAN TIMUR,19562.67,19647.43,20278.69,20691.5,80180.29,534.5,539.45,485.24,531.48,2090.68,1716.72,3911.07,5533.13,12362.26,23523.17,33093.6,35031.53,35069.65,36635.57,139830.35,3334.08,4354.14,4054.62,601.58,12344.42,75032.25,66809.32,66429.13,61275.65,269546.35,133273.82,130292.95,131850.45,132098.04,527515.26,2014
179,KALIMANTAN UTARA,2667.57,2688.16,2791.95,2863.5,11011.18,119.01,120.13,107.88,117.77,464.79,457.23,1067.65,1549.88,3511.75,6586.51,3981.76,4206.38,4361.75,4783.9,17333.8,131.46,221.63,419.15,98.23,870.47,6622.76,6520.74,6029.52,3744.23,22917.25,13979.78,14824.69,15260.14,15119.39,59184.0,2014
180,SULAWESI UTARA,8542.22,8841.03,9187.92,9970.11,36541.28,429.98,410.87,405.31,425.51,1671.67,3148.88,3278.88,3532.88,4055.43,14016.07,5961.14,6271.37,6503.71,7491.27,26227.49,14.39,20.68,16.27,4.74,56.08,-212.98,615.81,1011.9,740.31,2155.04,17883.64,19438.64,20657.98,22687.37,80667.63,2014
181,SULAWESI TENGAH,11816.74,12249.76,13007.04,13485.03,50558.56,416.32,435.19,437.58,439.25,1728.34,2941.97,3181.87,3276.59,3647.32,13047.76,9209.34,9420.27,10352.71,11147.06,40129.38,512.14,724.52,572.61,139.77,1949.05,-4150.65,-4356.13,-4614.04,-4045.99,-17166.81,20745.86,21655.48,23032.48,24812.45,90246.27,2014
182,SULAWESI SELATAN,39471.76,40226.34,42190.64,43763.47,165652.22,911.63,954.41,985.28,1012.52,3863.84,4245.08,7455.54,8354.4,11719.35,31774.37,25449.09,26771.22,28001.52,30004.01,110225.84,-1015.55,1999.17,853.67,-3387.95,-1550.67,-351.04,-4647.91,-853.16,-6079.68,-11931.78,68710.97,72758.77,79532.34,77031.72,298033.8,2014
183,SULAWESI TENGGARA,9601.73,9847.96,10270.36,10619.57,40339.62,219.22,219.6,208.98,221.73,869.53,2426.07,2863.37,2962.5,3465.25,11717.19,6694.34,6947.02,8165.66,9489.22,31296.24,-98.49,652.08,689.06,-567.33,675.32,-722.3,-1318.43,-1849.08,-2385.95,-6275.76,18120.57,19211.61,20447.48,20842.49,78622.15,2014
184,GORONTALO,3620.88,3774.53,3928.08,4080.48,15403.97,41.5,44.37,45.03,44.42,175.31,1024.25,1530.11,1701.99,1821.19,6077.54,1819.22,1896.23,2035.29,2172.97,7923.72,266.28,251.7,191.86,43.4,753.24,-638.05,-1414.93,-1279.96,-1807.06,-5140.0,6134.08,6082.01,6622.29,6355.4,25193.78,2014
185,SULAWESI BARAT,3656.77,3692.52,3909.33,4003.01,15261.64,57.41,61.25,56.94,59.84,235.43,923.5,1102.54,1244.81,1882.35,5153.21,1937.14,2049.31,2181.65,2303.03,8471.14,235.9,245.49,110.24,-236.39,355.24,-3.43,82.48,103.5,-200.96,-18.41,6807.3,7233.6,7606.47,7810.88,29458.25,2014
186,MALUKU,4872.3,5097.9,5414.6,5841.44,21226.23,166.38,164.63,168.61,175.26,674.87,2459.06,2804.45,3095.6,3466.48,11825.59,2236.21,2148.33,2221.04,2317.28,8922.86,82.56,104.72,89.16,25.29,301.73,-2245.74,-2543.16,-2932.99,-3572.91,-11294.8,7570.77,7776.86,8056.02,8252.83,31656.48,2014
187,MALUKU UTARA,3334.94,3389.56,3572.33,3660.32,13957.15,68.88,70.29,74.05,74.49,287.72,1824.92,1938.68,1992.37,2209.64,7965.61,1479.45,1527.66,1564.0,1639.51,6210.62,-118.0,290.38,-114.59,-285.76,-227.97,-900.22,-1345.11,-934.22,-971.51,-4151.05,5689.97,5871.46,6153.95,6326.69,24042.08,2014
188,PAPUA BARAT,3509.88,3614.35,3740.51,3852.26,14717.0,131.24,138.06,140.4,146.41,556.12,2385.69,2825.03,2998.99,3385.01,11594.72,2579.61,2687.37,2841.56,3025.82,11134.36,-283.46,-204.16,-536.53,-469.23,-1493.38,6251.78,4493.77,5465.33,5461.27,21672.14,14574.74,13554.43,14650.26,15401.53,58180.96,2014
189,PAPUA BARAT DAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
190,PAPUA,15513.43,15801.54,16582.4,17496.4,65393.76,620.36,638.08,644.52,689.84,2592.8,6846.32,7126.62,7555.06,8929.0,30457.01,9518.98,10146.91,10593.22,11290.36,41549.47,316.1,-57.79,-546.97,-89.55,-378.21,-1308.25,-1995.0,1028.93,-4010.53,-6284.85,31506.94,31660.35,35857.16,34305.53,133329.98,2014
191,PAPUA SELATAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
192,PAPUA TENGAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
193,PAPUA PEGUNUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
194,TOTAL,1395008.13,1419732.96,1490232.59,1525335.09,5830308.77,31910.7,32976.12,30058.55,31536.94,126482.31,168356.8,224991.06,256531.03,330463.34,980342.24,792056.84,833224.67,862117.0,906779.52,3394178.03,67047.99,89822.11,65590.79,6039.4,228500.29,95776.55,36415.22,45055.0,-55284.47,121962.3,2550157.02,2637162.14,2749584.96,2744869.82,10681773.94,2014
195,ACEH,19450.13,19637.17,20303.93,20459.9,79851.13,610.05,615.05,628.5,636.47,2490.06,5840.25,7302.97,8964.98,13071.83,35180.03,10901.81,10959.46,11444.28,12762.39,46067.93,-68.21,19.79,-64.3,-0.58,-113.3,-5641.15,-6688.63,-8125.71,-13927.7,-34383.2,31092.87,31845.82,33151.68,33002.3,129092.66,2015
196,SUMATERA UTARA,73897.24,75294.16,77823.41,79057.05,306071.86,1263.6,1287.22,1335.75,1372.13,5258.7,9019.68,10193.43,11420.42,13326.93,43960.45,43055.69,44600.65,46824.18,47887.13,182367.64,4757.78,3775.05,2195.08,2391.2,13119.11,6299.41,5338.53,6187.52,3118.79,20944.25,138293.39,140489.04,145786.37,147153.21,571722.01,2015
197,SUMATERA BARAT,23215.08,23701.89,24651.49,24963.37,96531.83,471.03,479.36,510.44,536.64,1997.47,4020.6,5340.32,6056.76,8838.04,24255.72,13048.75,13455.81,13766.94,14656.92,54928.42,-68.07,230.76,484.82,-52.7,594.81,2486.95,1130.31,518.55,-2492.1,1643.72,43174.34,44338.45,45989.01,46450.18,179951.98,2015
198,RIAU,52756.71,54861.41,56618.26,57936.71,222173.1,690.94,713.66,740.26,765.39,2910.25,4847.52,5349.12,5877.58,7388.63,23462.84,46049.28,47667.88,50938.45,53405.68,198061.29,1817.79,1917.77,1877.23,1752.23,7365.02,48218.09,48856.04,51018.91,50696.09,198789.13,154380.32,159365.88,167070.69,171944.73,652761.63,2015
199,JAMBI,17263.95,17584.79,18460.73,18508.06,71817.54,198.4,203.2,209.13,219.63,830.37,2116.86,2599.43,3805.64,5831.22,14353.14,7680.08,8157.66,9327.73,10604.94,35770.42,686.44,980.3,926.86,-839.24,1754.36,8953.01,8972.03,6830.35,5784.45,30539.83,36898.73,38497.41,39560.45,40109.07,155065.66,2015
200,SUMATERA SELATAN,53257.87,54615.57,56718.11,57896.11,222487.66,1110.79,1248.29,1256.14,1271.76,4886.98,5581.66,6218.46,6442.51,7647.07,25889.7,28600.54,30012.86,31189.03,34064.38,123866.82,387.53,453.25,826.75,-793.14,874.39,-10002.17,-9796.11,-9955.48,-16486.09,-46239.85,78936.23,82752.32,86477.05,83600.1,331765.7,2015
201,BENGKULU,7939.2,8153.57,8424.41,8647.89,33165.08,289.13,288.93,304.98,330.64,1213.69,2146.03,2467.13,2685.03,2933.43,10231.62,4716.53,4910.65,5113.45,5530.1,20270.72,308.99,324.31,332.65,340.35,1306.29,-3316.26,-3803.59,-4101.42,-4632.1,-15853.38,12083.61,12341.0,12759.1,13150.31,50334.02,2015
202,LAMPUNG,36865.74,37800.28,39541.57,39025.45,153233.05,758.95,815.18,882.84,990.94,3447.91,4018.19,5456.69,6233.1,8264.15,23972.13,17670.95,18374.59,19197.24,21514.82,76757.61,247.12,311.77,62.47,16.75,638.11,1065.29,780.59,998.99,-8010.57,-5165.69,60626.25,63539.1,66916.21,61801.54,252883.1,2015
203,KEP. BANGKA BELITUNG,7815.4,7984.85,8291.46,8485.3,32577.02,92.66,94.84,98.58,105.56,391.64,1356.81,1539.1,1680.39,1847.51,6423.81,3454.92,3540.77,3592.62,3747.73,14336.04,293.18,295.17,487.72,112.93,1189.01,1742.17,1681.91,1298.78,1346.96,6069.82,14755.13,15136.65,15449.55,15645.99,60987.32,2015
204,KEP. RIAU,17248.72,17781.12,18696.88,19337.44,73064.17,101.78,108.12,115.58,155.13,480.61,1169.58,2419.29,3094.43,5701.09,12384.4,20525.92,20773.67,20753.76,22717.66,84771.0,266.15,285.27,284.77,268.1,1104.29,8733.88,7898.09,7501.4,3632.56,27765.93,48046.02,49265.57,50446.82,51811.98,199570.39,2015
205,DKI JAKARTA,288817.63,296091.08,309735.92,313702.94,1208347.58,8426.56,8891.02,9212.86,9328.56,35859.0,36296.18,63586.99,67965.09,92568.38,260416.64,196664.9,204340.74,205986.64,205959.51,812951.79,4198.1,4739.51,4554.16,4064.27,17556.04,-62128.56,-88503.33,-89446.74,-105963.68,-346042.3,472274.81,489146.01,508007.94,519659.98,1989088.75,2015
206,JAWA BARAT,234436.13,241895.25,250929.88,256503.96,983765.23,2127.22,2186.78,2248.31,2346.34,8908.65,17048.56,21562.51,27280.65,32401.05,98292.76,91291.72,94366.21,96911.26,100406.41,382975.6,15399.47,18004.33,13347.5,12670.15,59421.46,3543.6,1035.93,1716.82,-14685.21,-8388.87,363846.7,379051.01,392434.43,389642.69,1524974.83,2015
207,JAWA TENGAH,149647.89,152025.71,159354.27,159236.14,620264.02,2736.42,2747.99,2911.61,3042.49,11438.5,11927.22,17424.38,23051.54,32822.78,85225.91,72936.9,74553.09,78229.81,82982.63,308702.42,6898.63,11164.33,6074.07,-9868.22,14268.81,-1370.28,-6880.51,-7600.34,-13061.89,-28913.03,242776.77,251034.99,262020.95,255153.92,1010986.64,2015
208,DI YOGYAKARTA,16228.43,16886.92,17789.38,17825.8,68730.53,738.07,758.25,811.78,863.09,3171.19,3551.65,3788.91,4267.39,5606.2,17214.15,6632.56,7085.77,7744.31,9336.24,30798.88,569.47,592.97,-114.8,104.16,1151.8,-3297.39,-4602.74,-4253.75,-7472.15,-19626.03,24422.78,24510.07,26244.32,26263.34,101440.52,2015
209,JAWA TIMUR,245744.33,251043.86,259418.53,263415.42,1019622.14,4718.8,4917.71,5148.66,5443.62,20228.79,17556.82,23418.72,28043.14,35893.65,104912.33,105344.71,114223.12,121135.59,123765.37,464468.79,14940.79,11729.42,12932.27,1835.97,41438.45,14205.16,13514.72,12846.61,240.07,40806.56,402510.61,418847.55,439524.8,430594.1,1691477.06,2015
210,BANTEN,61294.69,62534.21,64276.24,65277.47,253382.61,527.42,543.03,556.63,577.17,2204.25,4141.25,4642.09,5235.86,7098.96,21118.17,32461.94,33849.49,35479.92,38108.44,139899.78,175.51,177.94,122.66,84.19,560.3,15547.74,16509.82,16993.98,13083.8,62135.34,114148.55,118256.58,122665.3,124230.02,479300.44,2015
