,38 Provinsi,Perkotaan Semester 1 (Maret),Perkotaan Semester 2 (September),Unnamed: 4,Perdesaan Semester 2 (September),Perkotaan+Perdesaan Semester 1 (Maret),Perkotaan+Perdesaan Semester 2 (September),Tahun
124,LAMPUNG,122626,125522.76,92038,93160.05,101073,102954.58,2018
125,KEP. BANGKA BELITUNG,180347,186718.59,165869,176561.65,173633,182017.46,2018
126,KEP. RIAU,190164,194632.97,131906,137637.64,181902,188369.72,2018
127,DKI JAKARTA,198949,198987.31,-,-,198949,198987.31,2018
128,JAWA BARAT,105097,105920.36,90136,91144.48,101223,102311.77,2018
129,JAWA TENGAH,98281,99910.2,88642,89496.8,93582,94827.43,2018
130,DI YOGYAKARTA,125328,126522.87,95550,98191.36,117272,118822.06,2018
131,JAWA TIMUR,102744,103272.04,89057,89738.64,96225,96897.56,2018
132,BANTEN,132429,137476.93,96862,104616.34,122153,127852.39,2018
133,BALI,123953,125078.78,108143,109674.42,118604,120176.38,2018
134,NUSA TENGGARA BARAT,98141,99982.72,84374,91635.69,90777,95622.84,2018
135,NUSA TENGGARA TIMUR,119421,120212.55,63119,66622.03,75987,78999.45,2018
136,KALIMANTAN BARAT,100003,103335.38,81602,87098.79,87805,92716.93,2018
137,KALIMANTAN TENGAH,96241,98329.95,78636,83686.68,85401,89461.96,2018
138,KALIMANTAN SELATAN,152617,153198.22,100783,101478.29,124920,125666.42,2018
139,KALIMANTAN TIMUR,181664,190174,145280,154524.61,169596,178650.19,2018
140,KALIMANTAN UTARA,172564,175652.25,147823,150711.73,162252,165958.59,2018
141,SULAWESI UTARA,86738,88912.17,71873,74105.35,79322,81782.88,2018
142,SULAWESI TENGAH,124955,125852.35,91186,91243.29,100595,101178.63,2018
143,SULAWESI SELATAN,96376,96857.57,63581,65796.53,77256,79099.04,2018
144,SULAWESI TENGGARA,90744,91842.18,68026,71248.56,76729,79013.38,2018
145,GORONTALO,80305,81220.4,64790,67246.78,70788,73011.51,2018
146,SULAWESI BARAT,65681,67038.64,70469,74140.43,69333,72578.68,2018
147,MALUKU,124804,127820.09,96604,102147.06,108357,113012.08,2018
148,MALUKU UTARA,98243,118003.18,84786,86329.06,88628,95381.2,2018
149,PAPUA BARAT,146928,162059.55,98229,105223.48,117927,128283.36,2018
150,PAPUA BARAT DAYA,-,-,-,-,-,-,2018
151,PAPUA,181530,188327.81,103112,107165.87,124711,129967.53,2018
152,PAPUA SELATAN,-,-,-,-,-,-,2018
153,PAPUA TENGAH,-,-,-,-,-,-,2018
154,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2018
155,INDONESIA,120342,121860.22,89606,92270.22,106414,108647.91,2018
156,ACEH,137577,140281,106943,110248,116842,120033,2019
157,SUMATERA UTARA,129321,139706,97785,103166,114907,123015,2019
158,SUMATERA BARAT,143519,149242,101722,108553,121319,127697,2019
159,RIAU,152604,163071,123242,129376,135097,142957,2019
160,JAMBI,131996,135322,91640,96542,104725,108973,2019
161,SUMATERA SELATAN,128381,129424,90188,94735,104445,107685,2019
162,BENGKULU,144674,146663,123409,129890,130449,135407,2019
163,LAMPUNG,127707,132077,94425,97828,104689,108311,2019
164,KEP. BANGKA BELITUNG,190458,200912,178334,184681,185024,193549,2019
165,KEP. RIAU,204035,208017,144058,147937,198052,201968,2019
166,DKI JAKARTA,207345,211437,-,-,207345,211437,2019
167,JAWA BARAT,108134,110647,92689,95137,104505,107014,2019
168,JAWA TENGAH,102252,103546,92106,93750,97305,98776,2019
169,DI YOGYAKARTA,128992,133943,99749,106183,121079,126486,2019
170,JAWA TIMUR,105971,108014,91740,93809,99346,101415,2019
171,BANTEN,140545,148725,107604,110445,131126,137728,2019
172,BALI,130026,131942,113240,115867,124790,126986,2019
173,NUSA TENGGARA BARAT,102473,103921,93853,95683,98009,99662,2019
174,NUSA TENGGARA TIMUR,124193,130258,68332,69974,81617,84286,2019
175,KALIMANTAN BARAT,108409,110999,92007,95986,97773,101232,2019
176,KALIMANTAN TENGAH,100845,106567,85750,88855,91794,95993,2019
177,KALIMANTAN SELATAN,157348,161445,108587,116394,131631,137693,2019
178,KALIMANTAN TIMUR,191520,205447,156075,162946,179991,191850,2019
179,KALIMANTAN UTARA,183982,184597,156288,169923,173136,178863,2019
180,SULAWESI UTARA,92261,94021,77187,84147,85067,89301,2019
181,SULAWESI TENGAH,130498,131660,93145,99359,104297,108863,2019
182,SULAWESI SELATAN,100572,103663,68088,70484,82176,84729,2019
183,SULAWESI TENGGARA,94284,100880,73510,77510,81641,86578,2019
184,GORONTALO,83130,91439,68899,72832,74912,80678,2019
185,SULAWESI BARAT,67608,74540,75486,77679,73626,76976,2019
186,MALUKU,139398,146707,111187,118574,123475,130898,2019
187,MALUKU UTARA,121938,125670,89184,91693,98575,101087,2019
188,PAPUA BARAT,164353,169463,107703,115627,131510,138104,2019
189,PAPUA BARAT DAYA,-,-,-,-,-,-,2019
190,PAPUA,194298,201039,111915,114082,135468,138869,2019
191,PAPUA SELATAN,-,-,-,-,-,-,2019
192,PAPUA TENGAH,-,-,-,-,-,-,2019
193,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2019
194,INDONESIA,125375,129160,95111,98495,112018,115627,2019
195,ACEH,143425,144182,116270,116847,125093,125892,2020
196,SUMATERA UTARA,141299,141850,108061,108091,126114,126619,2020
197,SUMATERA BARAT,151198,152458,112136,113254,130483,132291,2020
198,RIAU,170165,170891,131654,132088,147175,147436,2020
199,JAMBI,139066,140106,104118,104441,115405,116085,2020
200,SUMATERA SELATAN,131854,132409,100198,100455,112021,112549,2020
201,BENGKULU,149257,150379,131570,132162,137419,138121,2020
202,LAMPUNG,136066,137055,100624,101339,111581,112551,2020
203,KEP. BANGKA BELITUNG,203236,204588,189493,190676,197084,198343,2020
204,KEP. RIAU,210186,211289,152786,153682,204502,206721,2020
205,DKI JAKARTA,214245,215491,-,-,214245,215491,2020
206,JAWA BARAT,112943,113234,96838,98778,109182,109994,2020
207,JAWA TENGAH,106325,106941,96035,96317,101313,101781,2020
208,DI YOGYAKARTA,137118,138208,107028,107382,129019,130166,2020
209,JAWA TIMUR,110942,111109,96247,96788,104110,104574,2020
210,BANTEN,153303,155147,118175,118937,143367,144818,2020
211,BALI,135611,141701,120391,122774,130889,136013,2020
212,NUSA TENGGARA BARAT,105643,105923,99356,100231,102397,103023,2020
213,NUSA TENGGARA TIMUR,137255,138027,71183,71833,86875,88053,2020
214,KALIMANTAN BARAT,121023,122037,104237,105435,110125,111385,2020
215,KALIMANTAN TENGAH,113479,116294,95411,96873,102680,104754,2020
216,KALIMANTAN SELATAN,165897,167122,119592,121152,141449,143292,2020
217,KALIMANTAN TIMUR,212425,212738,169485,169549,198479,199033,2020
218,KALIMANTAN UTARA,188266,190960,172338,178749,181985,186264,2020
219,SULAWESI UTARA,95077,96428,84796,85659,90165,91444,2020
220,SULAWESI TENGAH,135083,136249,101230,103319,111340,113352,2020
221,SULAWESI SELATAN,105906,110314,71719,75132,86574,90832,2020
222,SULAWESI TENGGARA,101982,109035,78865,83714,87933,92645,2020
223,GORONTALO,91971,94014,74253,75481,81718,83441,2020
224,SULAWESI BARAT,77925,78733,80755,82102,80088,81416,2020
225,MALUKU,151053,160453,123188,132591,135419,144007,2020
226,MALUKU UTARA,128282,130288,94698,97954,104375,107190,2020
227,PAPUA BARAT,176386,177136,126202,130993,147343,150672,2020
228,PAPUA BARAT DAYA,-,-,-,-,-,-,2020
229,PAPUA,202759,202858,114586,119210,139749,143093,2020
230,PAPUA SELATAN,-,-,-,-,-,-,2020
231,PAPUA TENGAH,-,-,-,-,-,-,2020
232,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2020
233,INDONESIA,132303,133121,101788,102860,118859,119943,2020
234,ACEH,147729,151144,122118,126262,130689,134643,2021
235,SUMATERA UTARA,145089,147124,112706,114016,130652,132451,2021
236,SUMATERA BARAT,156831,161294,117976,121531,137059,141237,2021
237,RIAU,175412,185998,136989,140947,152344,158976,2021
238,JAMBI,146528,149285,108537,114856,120995,126067,2021
239,SUMATERA SELATAN,135276,137422,105866,108975,116888,119702,2021
240,BENGKULU,155110,161688,137716,142987,143466,149191,2021
241,LAMPUNG,140283,143059,103341,111553,115110,121713,2021
242,KEP. BANGKA BELITUNG,212698,215609,202340,214613,208186,215178,2021
243,KEP. RIAU,217689,225676,156472,159285,213127,221050,2021
244,DKI JAKARTA,218306,224134,-,-,218306,224134,2021
245,JAWA BARAT,115817,117143,102167,102892,112830,114079,2021
246,JAWA TENGAH,109458,110509,98245,100578,104044,105745,2021
247,DI YOGYAKARTA,140801,147305,109797,113311,132798,138620,2021
248,JAWA TIMUR,113113,115011,98419,101242,106462,108825,2021
249,BANTEN,158218,161474,121444,127748,147779,152225,2021
250,BALI,145944,148574,126411,127328,140201,142437,2021
251,NUSA TENGGARA BARAT,109147,116509,101079,109465,105080,113012,2021
252,NUSA TENGGARA TIMUR,141383,146024,73829,75333,90571,92941,2021
253,KALIMANTAN BARAT,124543,133177,106543,109174,113031,117885,2021
254,KALIMANTAN TENGAH,122681,125240,101865,107716,110468,115008,2021
255,KALIMANTAN SELATAN,171187,174014,126184,127523,147946,150151,2021
256,KALIMANTAN TIMUR,216656,218138,175035,183628,203590,207438,2021
257,KALIMANTAN UTARA,192586,205658,181789,188114,188477,199041,2021
258,SULAWESI UTARA,96597,96796,88413,90517,92835,93933,2021
259,SULAWESI TENGAH,138692,142414,105631,109351,115881,119619,2021
260,SULAWESI SELATAN,112894,117656,77317,79900,93251,96988,2021
261,SULAWESI TENGGARA,112976,116823,85263,88060,95189,98446,2021
262,GORONTALO,97496,102847,78352,83491,86719,91919,2021
263,SULAWESI BARAT,81929,82480,85163,87574,84504,86540,2021
264,MALUKU,165150,171643,139669,142688,150854,155467,2021
265,MALUKU UTARA,132670,134553,102193,104581,110900,112927,2021
266,PAPUA BARAT,180703,189323,137459,138294,156024,160036,2021
267,PAPUA BARAT DAYA,-,-,-,-,-,-,2021
268,PAPUA,206605,208134,122067,126343,146352,150066,2021
269,PAPUA SELATAN,-,-,-,-,-,-,2021
270,PAPUA TENGAH,-,-,-,-,-,-,2021
271,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2021
272,INDONESIA,136081,138894,105908,109175,123051,126161,2021
273,ACEH,157867,164956,131658,140763,140570,149038,2022
274,SUMATERA UTARA,151633,157137,118883,125685,137244,143402,2022
275,SUMATERA BARAT,169253,178321,127489,138150,148030,158370,2022
276,RIAU,191327,200815,146319,154999,164377,173340,2022
277,JAMBI,157559,166816,122845,130842,134333,142658,2022
278,SUMATERA SELATAN,141579,148101,114139,124901,124469,133642,2022
279,BENGKULU,167708,178155,149208,162687,155362,167767,2022
280,LAMPUNG,148109,156844,120198,130606,129270,139260,2022
281,KEP. BANGKA BELITUNG,223107,231249,220289,231037,221901,231158,2022
282,KEP. RIAU,233682,247232,162820,172647,225707,239224,2022
283,DKI JAKARTA,230716,238551,-,-,230716,238551,2022
284,JAWA BARAT,121232,127531,107690,116273,118356,125178,2022
285,JAWA TENGAH,113940,119009,104259,111294,109322,115356,2022
286,DI YOGYAKARTA,151531,161094,117032,128078,142770,152979,2022
287,JAWA TIMUR,118612,125139,104924,111568,112510,119136,2022
288,BANTEN,166426,172532,133579,144108,158185,165380,2022
289,BALI,152669,163784,131527,141203,146604,157398,2022
290,NUSA TENGGARA BARAT,121061,128090,112906,116558,117038,122419,2022
291,NUSA TENGGARA TIMUR,156513,170478,84266,89496,102599,110343,2022
292,KALIMANTAN BARAT,140781,146772,112823,121058,123099,130528,2022
293,KALIMANTAN TENGAH,132451,140978,114225,124756,121903,131597,2022
294,KALIMANTAN SELATAN,180716,189362,133660,141833,156765,165254,2022
295,KALIMANTAN TIMUR,224534,230245,191875,201939,214334,221451,2022
296,KALIMANTAN UTARA,213278,217984,194647,202380,206622,212374,2022
297,SULAWESI UTARA,97296,103035,92570,97931,95112,100742,2022
298,SULAWESI TENGAH,149250,153690,115486,124605,126217,133793,2022
299,SULAWESI SELATAN,120903,127538,83054,88302,100322,106355,2022
300,SULAWESI TENGGARA,118643,126476,89413,94558,100011,106200,2022
301,GORONTALO,106015,115590,85647,89278,94588,101167,2022
302,SULAWESI BARAT,87516,94951,91833,98484,90966,97774,2022
303,MALUKU,178780,187267,151424,166486,162991,175765,2022
304,MALUKU UTARA,136264,143872,106751,111933,115255,121138,2022
305,PAPUA BARAT,190854,206365,141193,156596,161688,178241,2022
306,PAPUA BARAT DAYA,-,-,-,-,-,-,2022
307,PAPUA,220512,230322,131446,138890,157295,165460,2022
308,PAPUA SELATAN,-,-,-,-,-,-,2022
309,PAPUA TENGAH,-,-,-,-,-,-,2022
310,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2022
311,INDONESIA,143536,150380,114113,122077,131014,138422,2022
312,ACEH,168651,-,142735,-,151696,-,2023
313,SUMATERA UTARA,158122,-,126238,-,144293,-,2023
314,SUMATERA BARAT,181358,-,140333,-,160925,-,2023
315,RIAU,203126,-,156983,-,175519,-,2023
316,JAMBI,171622,-,135140,-,147210,-,2023
317,SUMATERA SELATAN,150428,-,127616,-,136247,-,2023
318,BENGKULU,180896,-,165251,-,170449,-,2023
319,LAMPUNG,158873,-,133288,-,141759,-,2023
320,KEP. BANGKA BELITUNG,238557,-,236985,-,237893,-,2023
321,KEP. RIAU,249445,-,174927,-,240928,-,2023
322,DKI JAKARTA,243887,-,-,-,243887,-,2023
323,JAWA BARAT,130421,-,119550,-,128189,-,2023
324,JAWA TENGAH,120310,-,113304,-,117009,-,2023
325,DI YOGYAKARTA,166963,-,133230,-,158542,-,2023
326,JAWA TIMUR,128508,-,115640,-,122860,-,2023
327,BANTEN,176788,-,148609,-,170481,-,2023
328,BALI,170447,-,147988,-,164206,-,2023
329,NUSA TENGGARA BARAT,130104,-,118688,-,124555,-,2023
330,NUSA TENGGARA TIMUR,177418,-,96742,-,117685,-,2023
331,KALIMANTAN BARAT,157023,-,125852,-,137521,-,2023
332,KALIMANTAN TENGAH,143948,-,128100,-,134888,-,2023
333,KALIMANTAN SELATAN,191122,-,149065,-,169904,-,2023
334,KALIMANTAN TIMUR,238211,-,211067,-,229818,-,2023
335,KALIMANTAN UTARA,224374,-,208762,-,218630,-,2023
336,SULAWESI UTARA,105594,-,98829,-,102541,-,2023
337,SULAWESI TENGAH,155369,-,131518,-,139149,-,2023
338,SULAWESI SELATAN,129847,-,93850,-,110607,-,2023
339,SULAWESI TENGGARA,129262,-,98358,-,110183,-,2023
340,GORONTALO,117450,-,90295,-,102395,-,2023
341,SULAWESI BARAT,95917,-,99472,-,98751,-,2023
342,MALUKU,193320,-,173142,-,181805,-,2023
343,MALUKU UTARA,155499,-,121112,-,131103,-,2023
344,PAPUA BARAT,212749,-,162146,-,183080,-,2023
345,PAPUA BARAT DAYA,-,-,-,-,-,-,2023
346,PAPUA,237968,-,141667,-,169941,-,2023
347,PAPUA SELATAN,-,-,-,-,-,-,2023
348,PAPUA TENGAH,-,-,-,-,-,-,2023
349,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2023
350,INDONESIA,153711,-,125590,-,141936,-,2023
351,ACEH,176760,175934,150668,150909,159824,159766,2024
352,SUMATERA UTARA,165634,165432,133477,135118,151883,152606,2024
353,SUMATERA BARAT,190871,191139,149201,151617,170431,172138,2024
354,RIAU,211197,212540,167924,167809,185337,185848,2024
355,JAMBI,182760,184254,146258,148620,158425,160463,2024
356,SUMATERA SELATAN,156059,155742,131714,131942,140960,140955,2024
357,BENGKULU,189928,191581,172095,172904,178107,179156,2024
358,LAMPUNG,166648,169210,139174,141298,148472,150807,2024
359,KEP. BANGKA BELITUNG,248812,252943,239627,239769,244989,247531,2024
360,KEP. RIAU,258987,260312,183511,191157,251235,253273,2024
361,DKI JAKARTA,253641,255381,-,-,253641,255381,2024
362,JAWA BARAT,134926,136750,123721,129763,132705,135394,2024
363,JAWA TENGAH,126560,131478,120454,124813,123716,128396,2024
364,DI YOGYAKARTA,173081,175116,138285,137739,164546,166049,2024
365,JAWA TIMUR,133585,135797,120932,124636,128111,131013,2024
366,BANTEN,186247,186973,156279,157288,180174,180988,2024
367,BALI,184174,187981,157305,161854,176892,181015,2024
368,NUSA TENGGARA BARAT,135017,135569,124665,126341,130066,131174,2024
369,NUSA TENGGARA TIMUR,180831,182028,102613,106475,123353,126704,2024
370,KALIMANTAN BARAT,164732,169673,132869,139085,144951,150835,2024
371,KALIMANTAN TENGAH,151277,155777,133214,138151,141098,145929,2024
372,KALIMANTAN SELATAN,198786,200568,152102,157415,175502,179190,2024
373,KALIMANTAN TIMUR,252275,259197,223218,227353,243384,249864,2024
374,KALIMANTAN UTARA,233114,236105,215582,223194,226983,231570,2024
375,SULAWESI UTARA,112743,117116,103386,109714,108570,113904,2024
376,SULAWESI TENGAH,163451,166918,139534,144821,147443,152243,2024
377,SULAWESI SELATAN,134729,134814,99753,102082,116292,117676,2024
378,SULAWESI TENGGARA,135244,138640,104366,108034,116370,119931,2024
379,GORONTALO,122554,122625,94736,95074,107393,107863,2024
380,SULAWESI BARAT,99300,100168,102849,104097,102140,103333,2024
381,MALUKU,202296,211855,180000,188881,189673,199189,2024
382,MALUKU UTARA,166963,180003,128936,139765,139931,151485,2024
383,PAPUA BARAT,259955,264646,176261,180584,201881,206845,2024
384,PAPUA BARAT DAYA,219553,232677,165835,189985,192662,210865,2024
385,PAPUA,242545,254161,165977,179865,211880,224602,2024
386,PAPUA SELATAN,178832,179426,101319,102833,128980,130009,2024
387,PAPUA TENGAH,312754,320179,134486,138735,177949,183311,2024
388,PAPUA PEGUNUNGAN,293852,312333,246198,255094,249412,258817,2024
389,INDONESIA,160477,162643,132714,136147,149026,151809,2024
